osm_id,path,level,name
6774605,TR.06.007.0038,NEIGHBORHOOD,Doğuş Mahallesi
8732916,TR.06.007.0039,NEIGHBORHOOD,Dumlupınar Mahallesi
6783097,TR.06.007.0040,NEIGHBORHOOD,Ehlibeyt Mahallesi
6779678,TR.06.007.0041,NEIGHBORHOOD,Emek Mahallesi
6770649,TR.06.007.0042,NEIGHBORHOOD,Ertuğrulgazi Mahallesi
6753443,TR.06.007.0043,NEIGHBORHOOD,Erzurum Mahallesi
6774715,TR.06.007.0044,NEIGHBORHOOD,Esatoğlu Mahallesi
6777212,TR.06.007.0045,NEIGHBORHOOD,Eti Mahallesi
17565396,TR.06.007.0046,NEIGHBORHOOD,Evciler Mahallesi
6770650,TR.06.007.0047,NEIGHBORHOOD,Fakülteler Mahallesi
6770976,TR.06.007.0048,NEIGHBORHOOD,Fidanlık Mahallesi
6774813,TR.06.007.0049,NEIGHBORHOOD,Gaziosmanpaşa Mahallesi
6783217,TR.06.007.0050,NEIGHBORHOOD,Gökkuşağı Mahallesi
6771252,TR.06.007.0051,NEIGHBORHOOD,Göktürk Mahallesi
6776400,TR.06.007.0052,NEIGHBORHOOD,Güvenevler Mahallesi
6776519,TR.06.007.0053,NEIGHBORHOOD,Güzeltepe Mahallesi
6786510,TR.06.007.0054,NEIGHBORHOOD,Harbiye Mahallesi
6776562,TR.06.007.0055,NEIGHBORHOOD,Hilal Mahallesi
6783133,TR.06.007.0056,NEIGHBORHOOD,Huzur Mahallesi
6770696,TR.06.007.0057,NEIGHBORHOOD,İleri Mahallesi
6786647,TR.06.007.0058,NEIGHBORHOOD,İlkadım Mahallesi
6776563,TR.06.007.0059,NEIGHBORHOOD,İlkbahar Mahallesi
6787176,TR.06.007.0060,NEIGHBORHOOD,İlker Mahallesi
6770915,TR.06.007.0061,NEIGHBORHOOD,İncesu Mahallesi
6789062,TR.06.007.0062,NEIGHBORHOOD,İşçi Blokları Mahallesi
17565394,TR.06.007.0063,NEIGHBORHOOD,Karahasanlı Mahallesi
6783285,TR.06.007.0064,NEIGHBORHOOD,Karapınar Mahallesi
17057549,TR.06.007.0065,NEIGHBORHOOD,Karataş Mahallesi
6774717,TR.06.007.0066,NEIGHBORHOOD,Kavaklıdere Mahallesi
6771450,TR.06.007.0067,NEIGHBORHOOD,Kazım Özalp Mahallesi
6786722,TR.06.007.0068,NEIGHBORHOOD,Keklik Pınarı Mahallesi
6774990,TR.06.007.0069,NEIGHBORHOOD,Kırkkonaklar Mahallesi
6777210,TR.06.007.0070,NEIGHBORHOOD,Kızılay Mahallesi
6787222,TR.06.007.0071,NEIGHBORHOOD,Kızılırmak Mahallesi
6777018,TR.06.007.0072,NEIGHBORHOOD,Kocatepe Mahallesi
17564652,TR.06.007.0073,NEIGHBORHOOD,Kömürcü Mahallesi
6789121,TR.06.007.0074,NEIGHBORHOOD,Konutkent Mahallesi
